School,Enrollment,Up to date,Up to date %,Conditional,PME,PBE,PBE (Religious),City
HAWAIIAN AVENUE ELEMENTARY,136,82,60,53,0,1,1,WILMINGTON
OCOTILLO ELEMENTARY,136,127,93,8,0,1,0,PALMDALE
GORDON H. BEATTY ELEMENTARY,136,134,99,2,0,0,0,BUENA PARK
MELROSE ELEMENTARY,136,132,97,4,0,0,0,PLACENTIA
CABOT YERXA ELEMENTARY,136,132,97,3,0,1,1,DESERT HOT SPRINGS
LOMITAS ELEMENTARY,136,102,75,34,0,0,0,VICTORVILLE
LAGUNA VISTA ELEMENTARY,136,135,99,0,0,1,1,OXNARD
CIENEGA ELEMENTARY,135,18,13,117,0,0,0,LOS ANGELES
LAKE STREET PRIMARY,135,102,76,32,0,1,1,LOS ANGELES
FAIR OAKS RANCH COMMUNITY,135,130,96,2,1,2,0,SANTA CLARITA
