time,esc,board district,plocn,school name,school type,grades offered,graduating class,total students,meeting college requirements,missing one required course,missing two required courses,missing three or more required courses
April SY 14-15,W,1,8686,Hamilton Senior High ,S,9-12,2017,730,65%,13%,7%,15%
April SY 14-15,W,1,8686,Hamilton Senior High ,S,9-12,2018,722,75%,16%,7%,1%
April SY 14-15,S,7,8518,Harbor Teacher Preparation Academy ,S,9-12,2017,121,95%,5%,0%,0%
April SY 14-15,S,7,8518,Harbor Teacher Preparation Academy ,S,9-12,2018,110,95%,5%,0%,1%
April SY 14-15,XP,4,8696,Helen Bernstein Senior High ,S,9-12,2017,147,60%,8%,23%,9%
April SY 14-15,XP,4,8696,Helen Bernstein Senior High ,S,9-12,2018,174,34%,20%,24%,23%
April SY 14-15,XP,4,7734,Helen Bernstein Sh Science Technology Engineering Math ,S,9-12,2017,150,69%,17%,5%,9%
April SY 14-15,XP,4,7734,Helen Bernstein Sh Science Technology Engineering Math ,S,9-12,2018,147,93%,5%,2%,0%
April SY 14-15,E,5,8645,Highland Park Continuation High ,C,9-12,2017,13,8%,31%,31%,31%
April SY 14-15,E,5,8645,Highland Park Continuation High ,C,9-12,2018,3,33%,0%,67%,0%
April SY 14-15,XP,2,7752,Hilda L Solis Learning Academy ,S,9-11,2017,70,64%,19%,7%,10%
April SY 14-15,XP,2,7752,Hilda L Solis Learning Academy ,S,9-11,2018,89,63%,28%,7%,2%
April SY 14-15,W,4,8693,Hollywood Senior High ,S,9-12,2017,348,71%,14%,5%,10%
April SY 14-15,W,4,8693,Hollywood Senior High ,S,9-12,2018,408,53%,29%,10%,9%
April SY 14-15,S,7,8652,Hope Continuation High ,C,9-12,2017,15,33%,0%,13%,53%
April SY 14-15,S,7,8652,Hope Continuation High ,C,9-12,2018,3,0%,33%,0%,67%
April SY 14-15,XP,2,7775,Humanitas Academy Of Art & Technology At Esteban Torres Hs ,S,9-12,2017,104,43%,13%,18%,26%
April SY 14-15,XP,2,7775,Humanitas Academy Of Art & Technology At Esteban Torres Hs ,S,9-12,2018,136,87%,7%,6%,1%
April SY 14-15,XP,5,8700,Huntington Park Senior High ,S,9-12,2017,501,44%,12%,9%,36%
April SY 14-15,XP,5,8700,Huntington Park Senior High ,S,9-12,2018,497,25%,41%,19%,15%
April SY 14-15,N,3,8559,Independence Continuation High ,C,9-12,2017,19,0%,0%,21%,79%
April SY 14-15,N,3,8559,Independence Continuation High ,C,9-12,2018,9,0%,22%,22%,56%
April SY 14-15,S,5,8701,International Studies Learning Center ,EJ,6-12,2017,120,83%,14%,2%,2%
April SY 14-15,S,5,8701,International Studies Learning Center ,EJ,6-12,2018,120,61%,38%,1%,0%
April SY 14-15,N,3,8092,Jack London Community Day School ,T,9-12,2017,8,38%,13%,25%,25%
April SY 14-15,N,3,8092,Jack London Community Day School ,T,9-12,2018,5,40%,40%,20%,0%
April SY 14-15,E,2,8679,James A Garfield Senior High ,S,9-12,2017,602,48%,15%,8%,28%
April SY 14-15,E,2,8679,James A Garfield Senior High ,S,9-12,2018,680,66%,22%,8%,4%
April SY 14-15,XP,6,8768,James Monroe Senior High ,S,9-12,2017,587,43%,18%,11%,29%
April SY 14-15,XP,6,8768,James Monroe Senior High ,S,9-12,2018,615,61%,18%,10%,11%
April SY 14-15,N,3,8726,Jane Addams Continuation High ,C,9-12,2017,11,9%,0%,27%,64%
April SY 14-15,N,3,8726,Jane Addams Continuation High ,C,9-12,2018,2,0%,0%,0%,100%
April SY 14-15,N,3,1910,Joaquin Miller Career And Transition Center ,H,7-12,2017,1,0%,0%,0%,100%
April SY 14-15,N,3,8725,John F Kennedy Senior High ,S,9-12,2017,541,47%,15%,14%,24%
April SY 14-15,N,3,8725,John F Kennedy Senior High ,S,9-12,2018,528,81%,10%,5%,3%
April SY 14-15,E,5,8750,John Marshall Senior High ,S,9-12,2017,601,62%,14%,10%,14%
April SY 14-15,E,5,8750,John Marshall Senior High ,S,9-12,2018,616,80%,14%,5%,2%
April SY 14-15,N,3,8591,John R Wooden High School ,C,9-12,2017,20,0%,20%,15%,65%
April SY 14-15,N,3,8591,John R Wooden High School ,C,9-12,2018,2,0%,50%,50%,0%
April SY 14-15,S,7,7761,Johnson Community Day School ,T,9-12,2017,25,4%,12%,20%,64%
April SY 14-15,S,7,7761,Johnson Community Day School ,T,9-12,2018,8,0%,0%,25%,75%
April SY 14-15,XP,7,8721,Jordan Senior High ,S,9-12,2017,149,39%,19%,8%,34%
April SY 14-15,XP,7,8721,Jordan Senior High ,S,9-12,2018,162,52%,22%,20%,6%
April SY 14-15,S,7,8727,King-Drew Senior High Medicine And Science Magnet ,SS,9-12,2017,384,69%,17%,7%,7%
April SY 14-15,S,7,8727,King-Drew Senior High Medicine And Science Magnet ,SS,9-12,2018,434,80%,18%,2%,0%
April SY 14-15,E,2,1919,Lanterman High School - Tmr ,H,7-12,2017,34,0%,0%,0%,100%
April SY 14-15,E,2,1919,Lanterman High School - Tmr ,H,7-12,2018,22,0%,0%,0%,100%
April SY 14-15,S,5,8921,Legacy Senior High Sci Tech Engineering Arts Math ,S,9-12,2017,122,61%,17%,12%,10%
April SY 14-15,S,5,8921,Legacy Senior High Sci Tech Engineering Arts Math ,S,9-12,2018,139,61%,32%,6%,0%
April SY 14-15,S,5,7664,Legacy Senior High Visual And Performing Arts ,S,9-12,2017,113,55%,23%,9%,13%
April SY 14-15,S,5,7664,Legacy Senior High Visual And Performing Arts ,S,9-12,2018,97,77%,19%,4%,0%
April SY 14-15,N,3,1908,Leichman High School Special Education Center ,H,7-12,2017,5,0%,0%,0%,100%
April SY 14-15,N,3,1908,Leichman High School Special Education Center ,H,7-12,2018,4,0%,0%,0%,100%
April SY 14-15,N,6,8638,Lewis Continuation High ,C,9-12,2017,2,0%,0%,0%,100%
April SY 14-15,XP,2,7753,Lincoln Sh Leadership In Entertainment & Media Arts ,S,9-12,2017,45,40%,9%,0%,51%
April SY 14-15,XP,2,7753,Lincoln Sh Leadership In Entertainment & Media Arts ,S,9-12,2018,45,16%,56%,22%,7%
April SY 14-15,XP,5,8866,Linda Esperanza Marquez Senior High Hpiam ,S,9-12,2017,195,65%,17%,8%,10%
April SY 14-15,XP,5,8866,Linda Esperanza Marquez Senior High Hpiam ,S,9-12,2018,182,48%,36%,14%,2%
April SY 14-15,XP,5,7725,Linda Esperanza Marquez Senior High Libra Academy ,S,9-12,2017,164,65%,7%,9%,20%
April SY 14-15,XP,5,7725,Linda Esperanza Marquez Senior High Libra Academy ,S,9-12,2018,134,90%,8%,1%,0%
April SY 14-15,XP,5,7669,Linda Esperanza Marquez Senior High Social Justice ,S,9-12,2017,155,59%,23%,10%,9%
April SY 14-15,XP,5,7669,Linda Esperanza Marquez Senior High Social Justice ,S,9-12,2018,182,63%,23%,12%,2%
April SY 14-15,N,3,8685,London Continuation High ,C,9-12,2017,3,0%,0%,33%,67%
April SY 14-15,W,1,8741,Los Angeles Center For Enriched Studies Magnet ,SP,6-12,2017,222,77%,5%,5%,12%
April SY 14-15,W,1,8741,Los Angeles Center For Enriched Studies Magnet ,SP,6-12,2018,240,89%,11%,0%,0%
April SY 14-15,XP,1,8736,Los Angeles Senior High ,S,9-12,2017,325,31%,12%,10%,47%
April SY 14-15,XP,1,8736,Los Angeles Senior High ,S,9-12,2018,361,57%,23%,12%,9%
April SY 14-15,N,6,1948,Lowman Special Education Center ,H,PK-12,2017,9,0%,0%,0%,100%
April SY 14-15,N,6,1948,Lowman Special Education Center ,H,PK-12,2018,17,0%,0%,0%,100%
April SY 14-15,XP,1,8743,Manual Arts Senior High ,S,9-12,2017,409,44%,12%,17%,27%
April SY 14-15,XP,1,8743,Manual Arts Senior High ,S,9-12,2018,443,50%,23%,17%,10%
April SY 14-15,W,1,1949,Marlton School ,H,PK-12,2017,15,33%,7%,0%,60%
April SY 14-15,W,1,1949,Marlton School ,H,PK-12,2018,15,67%,0%,7%,27%
April SY 14-15,S,5,8882,Maywood Academy Senior High ,S,9-12,2017,355,60%,16%,8%,16%
